stop_name,stop_lat,stop_lng
Albertov,50.067916,14.420798
Ametystová,49.9882,14.362216
Amforová,50.041683,14.327537
Anděl,50.071192,14.403565
Antala Staška,50.041607,14.444362
Apolinářská,50.07151,14.426754
Arbesovo náměstí,50.076233,14.404683
Argentinská,50.103045,14.443397
Avia Letňany,50.141751,14.51568
Baba I,49.998722,14.415267
Baba II,49.999579,14.415071
Babice,50.007876,14.714845
"Babice,Babičky",50.009389,14.726133
"Babice,U hřiště",50.00975,14.719009
Bachova,50.031293,14.508965
Bakovská,50.134714,14.549345
Balabenka,50.104094,14.482578
Balkán,50.094804,14.496245
Baně,49.952679,14.379144
Barchovice,49.942861,14.969271
"Barchovice,Hryzely",49.935647,14.98264
"Barchovice,Obecní úřad",49.944985,14.968462
"Barchovice,Radlice",49.934419,14.945907
"Barchovice,rozc.Radlice",49.949021,14.953531
Barrandovská,50.031529,14.395893
Barvy a laky,50.065504,14.537079
Basilejské náměstí,50.087231,14.47105
Baterie,50.092395,14.369619
Bavorská,50.054634,14.310689
Bazar,50.098751,14.671464
Bazovského,50.067164,14.307556
Bašteckého,50.03994,14.336143
Bašť,50.204469,14.473901
"Bašť,Baštěk",50.203782,14.462771
"Bašť,Měšická",50.202346,14.484734
Belárie,50.013286,14.401837
Benice,50.013513,14.605384
Benkova,50.037882,14.49943
"Benátky n.Jiz.,aut.st.",50.28567,14.828096
"Beroun,Brožíkova",49.968446,14.080723
"Beroun,Hostim",49.960306,14.129196
"Beroun,Hostímská",49.962655,14.085054
"Beroun,Plzeňka",49.96033,14.065054
"Beroun,U Slavaše",49.968895,14.079421
"Beroun,U černého koně",49.965335,14.072059
"Beroun,autobusové nádraží",49.95779,14.074774
"Beroun,nemocnice",49.96318,14.092099
"Beroun,Školní náměstí",49.967553,14.080786
Bertramka,50.072236,14.392862
Betonárka,50.036744,14.574776
Betáň,50.007284,14.4797
Bezděkovská,50.085842,14.601166
Bečváry,49.956814,15.08019
